names	x.pos	y.pos	module
Rsub_13089	-1180.4793533159027	-3124.2321839453316	red
Rsub_13086	-876.4793533159027	-4008.2321839453316	red
Rsub_13085	-4923.479353315903	4709.767816054668	grey
Rsub_13084	-2036.4793533159027	-4889.232183945332	red
Rsub_13081	-750.4793533159027	-4667.232183945332	red
Rsub_13075	-2821.4793533159027	3994.7678160546684	blue1
Rsub_13070	2447.5206466840973	218.7678160546684	gold
Rsub_13067	-5234.479353315903	4272.767816054668	red
Rsub_13066	3148.5206466840973	-1953.2321839453316	darkmagenta
Rsub_13062	2479.5206466840973	1975.7678160546684	blue1
Rsub_13057	2508.5206466840973	4889.767816054668	red
Rsub_13056	2499.5206466840973	4796.767816054668	red
Rsub_13049	1079.5206466840973	-405.2321839453316	gold
Rsub_13047	-595.4793533159027	-3689.2321839453316	red
Rsub_13046	-454.4793533159027	-3373.2321839453316	red
Rsub_13044	3269.5206466840973	-422.2321839453316	darkmagenta
Rsub_13042	1047.5206466840973	-1369.2321839453316	gold
Rsub_13039	-6267.479353315903	-2383.2321839453316	gold
Rsub_13036	-1846.4793533159027	-4353.232183945332	red
Rsub_13032	-2044.4793533159027	-3093.2321839453316	red
Rsub_13029	-1957.4793533159027	-784.2321839453316	red
Rsub_13028	1252.5206466840973	-544.2321839453316	gold
Rsub_13027	2718.5206466840973	-1669.2321839453316	darkmagenta
Rsub_13025	840.5206466840973	517.7678160546684	blue1
Rsub_13013	-2101.4793533159027	-5038.232183945332	red
Rsub_13011	1796.5206466840973	1484.7678160546684	blue1
Rsub_13009	-5902.479353315903	4599.767816054668	grey
Rsub_13007	-2096.4793533159027	-3521.2321839453316	red
Rsub_13002	-2441.4793533159027	-1193.2321839453316	red
Rsub_12997	2547.5206466840973	-2145.2321839453316	darkmagenta
Rsub_12995	3515.5206466840973	-1484.2321839453316	darkmagenta
Rsub_12992	1078.5206466840973	-220.2321839453316	gold
Rsub_12990	342.5206466840973	4889.767816054668	grey
Rsub_12986	3795.5206466840973	-490.2321839453316	darkmagenta
Rsub_12982	-1176.4793533159027	-2206.2321839453316	red
Rsub_12981	-1138.4793533159027	-1216.2321839453316	red
Rsub_12979	216.5206466840973	1530.7678160546684	blue1
Rsub_12978	1052.5206466840973	-1477.2321839453316	gold
Rsub_12977	1655.5206466840973	-1064.2321839453316	gold
Rsub_12974	1187.5206466840973	2538.7678160546684	blue1
Rsub_12972	-1207.4793533159027	-2278.2321839453316	red
Rsub_12969	-1488.4793533159027	-4276.232183945332	red
Rsub_12962	1363.5206466840973	1752.7678160546684	blue1
Rsub_12960	-4477.479353315903	4599.767816054668	red
Rsub_12958	-832.4793533159027	-4289.232183945332	red
Rsub_12949	-4594.479353315903	4973.767816054668	blue1
Rsub_12947	4094.5206466840973	-552.2321839453316	darkmagenta
Rsub_12945	-1510.4793533159027	-2710.2321839453316	red
Rsub_12942	-2906.4793533159027	-347.2321839453316	red
Rsub_12941	-1701.4793533159027	-3141.2321839453316	red
Rsub_12940	-1145.4793533159027	-4485.232183945332	red
Rsub_12939	-1428.4793533159027	-4636.232183945332	red
Rsub_12938	-1373.4793533159027	-4676.232183945332	red
Rsub_12937	-1582.4793533159027	-4381.232183945332	red
Rsub_12936	-1411.4793533159027	-4600.232183945332	red
Rsub_12934	-1689.4793533159027	-2983.2321839453316	red
Rsub_12933	2424.5206466840973	-1040.2321839453316	darkmagenta
Rsub_12929	1147.5206466840973	4092.7678160546684	darkmagenta
Rsub_12928	-2192.4793533159027	-3476.2321839453316	red
Rsub_12926	-870.4793533159027	-1523.2321839453316	red
Rsub_12921	833.5206466840973	-1351.2321839453316	gold
Rsub_12919	-747.4793533159027	-4045.2321839453316	red
Rsub_12918	-1046.4793533159027	-4455.232183945332	red
Rsub_12907	4278.520646684097	4695.767816054668	blue1
Rsub_12900	-1130.4793533159027	-3429.2321839453316	red
Rsub_12898	3774.5206466840973	4599.767816054668	blue1
Rsub_12896	-1877.4793533159027	-175.2321839453316	red
Rsub_12895	-1378.4793533159027	-1454.2321839453316	red
Rsub_12894	727.5206466840973	-303.2321839453316	gold
Rsub_12892	3015.5206466840973	-759.2321839453316	darkmagenta
Rsub_12891	4015.5206466840973	3475.7678160546684	blue1
Rsub_12890	1144.5206466840973	1428.7678160546684	blue1
Rsub_12880	-3977.4793533159027	4599.767816054668	blue1
Rsub_12873	-1752.4793533159027	-4180.232183945332	red
Rsub_12871	-628.4793533159027	-1533.2321839453316	red
Rsub_12870	-915.4793533159027	-1595.2321839453316	red
Rsub_12863	1570.5206466840973	2410.7678160546684	blue1
Rsub_12859	4636.520646684097	5037.767816054668	blue1
Rsub_12856	3036.5206466840973	-1234.2321839453316	darkmagenta
Rsub_12852	1231.5206466840973	1302.7678160546684	blue1
Rsub_12847	-1154.4793533159027	-1954.2321839453316	red
Rsub_12841	-844.4793533159027	-1324.2321839453316	red
Rsub_12833	-574.4793533159027	-1348.2321839453316	red
Rsub_12832	-6363.479353315903	-2605.2321839453316	gold
Rsub_12829	-3979.4793533159027	-3108.2321839453316	black
Rsub_12828	1625.5206466840973	-748.2321839453316	gold
Rsub_12823	-1325.4793533159027	-1674.2321839453316	black
Rsub_12821	844.5206466840973	439.7678160546684	blue1
Rsub_12818	826.5206466840973	1263.7678160546684	blue1
Rsub_12816	1236.5206466840973	1059.7678160546684	blue1
Rsub_12813	1710.5206466840973	1232.7678160546684	blue1
Rsub_12812	-902.4793533159027	-1361.2321839453316	red
Rsub_12811	1535.5206466840973	-1234.2321839453316	gold
Rsub_12805	23.5206466840973	4599.767816054668	blue1
Rsub_12804	17.5206466840973	4696.767816054668	blue1
Rsub_12795	-77.4793533159027	-2064.2321839453316	red
Rsub_12794	-1032.4793533159027	-2404.2321839453316	red
Rsub_12786	-3197.4793533159027	-3521.2321839453316	black
Rsub_12780	904.5206466840973	-371.2321839453316	gold
Rsub_12777	-353.4793533159027	797.7678160546684	blue1
Rsub_12776	-1097.4793533159027	-2692.2321839453316	red
Rsub_12774	2190.5206466840973	-1762.2321839453316	darkmagenta
Rsub_12772	-6964.479353315903	4180.767816054668	red
Rsub_12768	1178.5206466840973	-235.2321839453316	gold
Rsub_12767	3978.5206466840973	-538.2321839453316	darkmagenta
Rsub_12764	-1235.4793533159027	-1954.2321839453316	red
Rsub_12763	-1369.4793533159027	-1638.2321839453316	red
Rsub_12762	-1415.4793533159027	-2836.2321839453316	red
Rsub_12760	2275.5206466840973	4334.767816054668	grey
Rsub_12759	1037.5206466840973	4695.767816054668	red
Rsub_12758	-3167.4793533159027	4092.7678160546684	red
Rsub_12755	586.5206466840973	1338.7678160546684	blue1
Rsub_12753	2217.5206466840973	1672.7678160546684	blue1
Rsub_12752	4517.520646684097	4162.767816054668	blue1
Rsub_12751	2334.5206466840973	1696.7678160546684	blue1
Rsub_12749	-1447.4793533159027	3994.7678160546684	blue1
Rsub_12747	3295.5206466840973	4432.767816054668	blue1
Rsub_12746	-1657.4793533159027	4137.767816054668	blue1
Rsub_12744	1187.5206466840973	4889.767816054668	black
Rsub_12740	3381.5206466840973	4385.767816054668	blue1
Rsub_12739	-1495.4793533159027	-2429.2321839453316	red
Rsub_12736	841.5206466840973	-767.2321839453316	gold
Rsub_12735	1383.5206466840973	242.7678160546684	blue1
Rsub_12733	-5545.479353315903	4599.767816054668	blue1
Rsub_12731	-4007.4793533159027	4891.767816054668	red
Rsub_12730	-4006.4793533159027	4796.767816054668	red
Rsub_12728	3824.5206466840973	-1040.2321839453316	darkmagenta
Rsub_12723	-2296.4793533159027	-5156.232183945332	red
Rsub_12720	2693.5206466840973	-1633.2321839453316	darkmagenta
Rsub_12719	-687.4793533159027	-3663.2321839453316	red
Rsub_12716	3552.5206466840973	-498.2321839453316	darkmagenta
Rsub_12713	1698.5206466840973	836.7678160546684	blue1
Rsub_12704	-1131.4793533159027	-4149.232183945332	red
Rsub_12698	1209.5206466840973	-97.2321839453316	gold
Rsub_12688	1430.5206466840973	-605.2321839453316	gold
Rsub_12686	-5122.979353315903	-3968.467457159097	gold
Rsub_12685	-487.4793533159027	-3453.2321839453316	red
Rsub_12683	-1546.4793533159027	5061.767816054668	blue1
Rsub_12682	-1093.4793533159027	-4419.232183945332	red
Rsub_12679	1310.5206466840973	61.7678160546684	gold
Rsub_12671	3306.5206466840973	-1861.2321839453316	darkmagenta
Rsub_12668	-725.4793533159027	-2694.2321839453316	red
Rsub_12663	-1425.4793533159027	-2872.2321839453316	red
Rsub_12662	2084.5206466840973	2069.7678160546684	blue1
Rsub_12660	-1333.4793533159027	-1362.2321839453316	red
Rsub_12659	2774.5206466840973	2474.7678160546684	blue1
Rsub_12651	394.5206466840973	1321.7678160546684	blue1
Rsub_12647	-1880.4793533159027	1834.7678160546684	blue1
Rsub_12644	933.5206466840973	-630.2321839453316	gold
Rsub_12642	2179.5206466840973	-1311.2321839453316	darkmagenta
Rsub_12641	2719.5206466840973	2663.7678160546684	blue1
Rsub_12640	200.5206466840973	1416.7678160546684	blue1
Rsub_12638	-3693.4793533159027	207.7678160546684	red
Rsub_12630	-2343.4793533159027	-307.2321839453316	red
Rsub_12620	1104.5206466840973	1032.7678160546684	blue1
Rsub_12619	-1813.4793533159027	-4389.232183945332	red
Rsub_12618	-1060.4793533159027	-3573.2321839453316	red
Rsub_12614	-3292.4793533159027	4702.767816054668	blue1
Rsub_12612	-1923.4793533159027	-4843.232183945332	red
Rsub_12611	-1279.4793533159027	-4843.232183945332	red
Rsub_12610	-1442.4793533159027	-4805.232183945332	red
Rsub_12606	399.5206466840973	4696.767816054668	grey
Rsub_12605	411.5206466840973	856.7678160546684	blue1
Rsub_12601	-867.4793533159027	4090.7678160546684	grey
Rsub_12599	-915.4793533159027	4054.7678160546684	grey
Rsub_12596	-4341.479353315903	4635.767816054668	grey
Rsub_12591	887.5206466840973	1906.7678160546684	blue1
Rsub_12584	2636.5206466840973	4796.767816054668	black
Rsub_12583	1438.5206466840973	-996.2321839453316	gold
Rsub_12566	-2843.4793533159027	-65.2321839453316	red
Rsub_12563	-3079.4793533159027	-2832.2321839453316	black
Rsub_12562	3515.5206466840973	-2134.2321839453316	darkmagenta
Rsub_12559	-1603.4793533159027	1634.7678160546684	blue1
Rsub_12558	1541.5206466840973	-2434.2321839453316	red
Rsub_12556	521.5206466840973	4979.767816054668	grey
Rsub_12549	1012.5206466840973	-12.232183945331599	blue1
Rsub_12546	-4503.479353315903	-3854.2321839453316	gold
Rsub_12542	1055.5206466840973	-1057.2321839453316	gold
Rsub_12534	1712.5206466840973	-274.2321839453316	gold
Rsub_12530	1230.5206466840973	-319.2321839453316	gold
Rsub_12527	686.5206466840973	-1026.2321839453316	gold
Rsub_12523	-746.4793533159027	-3519.2321839453316	red
Rsub_12519	-1874.4793533159027	-5168.232183945332	red
Rsub_12518	1530.5206466840973	-507.2321839453316	gold
Rsub_12516	719.5206466840973	-1768.2321839453316	gold
Rsub_12511	-1334.4793533159027	4599.767816054668	gold
Rsub_12509	1704.5206466840973	-624.2321839453316	gold
Rsub_12504	-1107.4793533159027	-2728.2321839453316	red
Rsub_12502	3898.5206466840973	3672.7678160546684	blue1
Rsub_12501	-2347.4793533159027	-5244.232183945332	red
Rsub_12500	1274.5206466840973	-4535.232183945332	red
Rsub_12499	1334.5206466840973	798.7678160546684	blue1
Rsub_12498	-1025.4793533159027	4115.767816054668	grey
Rsub_12494	-1087.4793533159027	-2656.2321839453316	red
Rsub_12493	-1539.4793533159027	-4132.232183945332	red
Rsub_12491	-1206.4793533159027	4069.7678160546684	red
Rsub_12490	1425.5206466840973	1518.7678160546684	blue1
Rsub_12489	-1120.4793533159027	-1612.2321839453316	red
Rsub_12486	-509.4793533159027	-1020.2321839453316	red
Rsub_12485	1370.5206466840973	-1494.2321839453316	gold
Rsub_12484	1151.5206466840973	-273.2321839453316	gold
Rsub_12479	-1852.4793533159027	-2701.2321839453316	red
Rsub_12477	3553.5206466840973	-1221.2321839453316	darkmagenta
Rsub_12473	3286.5206466840973	-878.2321839453316	darkmagenta
Rsub_12472	-1014.4793533159027	-4329.232183945332	red
Rsub_12471	-1695.4793533159027	-4107.232183945332	red
Rsub_12470	-4191.479353315903	4973.767816054668	blue1
Rsub_12469	3237.5206466840973	-842.2321839453316	darkmagenta
Rsub_12468	3953.5206466840973	3913.7678160546684	blue1
Rsub_12464	1320.5206466840973	-1014.2321839453316	gold
Rsub_12456	1063.5206466840973	-1021.2321839453316	gold
Rsub_12448	-695.4793533159027	-1389.2321839453316	red
Rsub_12446	1759.5206466840973	2676.7678160546684	blue1
Rsub_12443	1161.5206466840973	-499.2321839453316	gold
Rsub_12440	1211.5206466840973	-793.2321839453316	gold
Rsub_12439	999.5206466840973	2235.7678160546684	blue1
Rsub_12438	-2228.4793533159027	-1325.2321839453316	red
Rsub_12435	738.5206466840973	104.7678160546684	blue1
Rsub_12424	-1111.4793533159027	-1315.2321839453316	red
Rsub_12423	-1190.4793533159027	-1252.2321839453316	red
Rsub_12421	-605.4793533159027	-2686.2321839453316	red
Rsub_12417	3588.5206466840973	-1149.2321839453316	darkmagenta
Rsub_12413	944.5206466840973	-3181.2321839453316	red
Rsub_12412	937.5206466840973	1453.7678160546684	blue1
Rsub_12410	-1211.4793533159027	-4334.232183945332	red
Rsub_12404	-356.4793533159027	-1266.2321839453316	red
Rsub_12401	783.5206466840973	-1093.2321839453316	gold
Rsub_12390	3394.5206466840973	4796.767816054668	grey
Rsub_12384	3167.5206466840973	-734.2321839453316	darkmagenta
Rsub_12380	-1360.4793533159027	-1566.2321839453316	red
Rsub_12377	840.5206466840973	2460.7678160546684	blue1
Rsub_12375	-1418.4793533159027	-3574.2321839453316	red
