"Mesor HNLD"	"Mesor LNLD"	"Mesor HNSD"	"Mesor LNSD"	"Amplitude HNLD"	"Amplitude LNLD"	"Amplitude HNSD"	"Amplitude LNSD"	"Phase HNLD"	"Phase LNLD"	"Phase HNSD"	"Phase LNSD"
"Rsub_00023"	7.19499755950949	8.9639200515315	9.44497915753316	8.71167600918585	3.0110851862215	2.19921442636026	2.64333524819156	2.86499991907696	15.0474666828029	16.3563820590108	16.4281129353038	10.9326096032091
"Rsub_00025"	7.82118227777778	13.1441637222227	6.06121016666233	12.77705588888	1.31650959034839	1.88459137978889	1.98582543314631	4.07634551309263	11.7351690461441	13.737905633613	8.71603286242753	8.86194262860904
"Rsub_00027"	4.52753116666649	18.6052790000046	6.45430894512818	14.3795069999248	1.1616682942289	6.98073006937479	2.8063759824486	6.27066400715081	19.6573789768113	18.3035400843548	17.9779633682874	14.068992474408
"Rsub_00030"	3.87623867054	3.19569121722183	1.56831283421184	2.18406366666682	0.802271441757985	1.19459277672039	1.46022181646192	0.531224765012336	5.64604501512479	5.78674659087472	6.81445334470566	3.74968104876223
"Rsub_00031"	5.26616499999948	7.8289134444466	8.9069637703174	12.785305674199	3.71291440797389	3.03706598319876	5.36671109610841	6.79562798011291	20.4566184906219	21.3750157938692	18.8835375712946	17.9668669971456
"Rsub_00033"	5.57118936431466	10.3047384134218	5.56560777741954	10.6283582225804	2.96549764787603	2.73728266562685	2.4612963204843	2.09415904249546	18.684405364946	23.1247611585514	13.8752035320141	21.1868336014047
"Rsub_00034"	18.5410083606703	24.2463320403498	11.8906401618277	26.210914611111	4.47821734827885	13.0104931767304	1.85292146535987	12.1352882147085	22.0638236465214	23.887048504038	3.45277505403484	21.3346387075122
"Rsub_00035"	22.191920463932	5.90816516680385	53.8602178333533	8.30604322222367	13.8349347634437	1.59056976165297	44.4109515433767	2.10885330883379	21.789393189746	1.76611754002612	20.8717579294968	18.336539660808
"Rsub_00036"	5.26115288956926	8.52604888709637	3.03369188889465	10.6011377778063	2.51914346960949	1.95832556835091	1.93288351013238	3.04168843850547	10.3856388242173	13.1656218945385	8.07883202135136	10.1871345250277
"Rsub_00038"	86.7663097222222	74.4938466666759	49.0325973672465	61.6564574999787	39.052550503011	31.2040764770946	37.1094771308975	27.2006143392966	19.1641322117768	23.4255946877602	5.70327613276516	1.24461616766643
"Rsub_00041"	50.1585311618843	28.8960147825687	69.6506578888931	32.5434325555752	15.0011249136422	8.85757311731869	36.6524702363465	6.90838877246732	22.2325094600076	0.425262792249828	19.4107974149981	18.2081104607304
"Rsub_00044"	26.5369159258645	6.63618611119243	11.2256315512411	6.53821661774747	26.5623616106024	7.96999304066216	7.45272054227434	6.89711007635193	17.8422588781336	19.9160199042871	10.2171286486324	18.8414466764386
"Rsub_00053"	56.4775285224641	69.0844965550596	31.8664366117474	83.7387430009022	25.5194611705136	34.401216879463	19.0832820743911	39.3953194484422	11.4798386155391	12.7284530980175	8.16616007186314	5.452353021377
"Rsub_00055"	3.68410629972834	5.78640311109997	1.63690633596237	7.77479533063049	1.88122404641104	6.2002171149454	0.988246303762099	5.14885322522973	10.9395279164167	15.7934529017054	7.36420686632717	15.0091951221228
"Rsub_00056"	2.09583168985586	8.4159441666565	6.01493127118464	21.8067612840766	2.05047613659288	7.54914820372652	2.11870272361799	6.60950670654495	16.6470981464799	17.916892458603	14.8944100067719	16.5024852347346
"Rsub_00057"	157.198542002305	171.061867218552	369.890341222222	198.823989611095	108.151689056881	100.321676941424	185.408150953598	66.0634915608226	13.5086693344689	14.4406467127676	17.183838525444	7.93905661953369
"Rsub_00058"	313.057956599218	209.036598774602	86.3367332726541	141.805553058918	171.39510844118	226.574332655924	90.2245233024241	131.713293186776	14.3212328014972	19.1790009676573	6.10885438453946	17.522494510507
"Rsub_00059"	1087.7147007922	644.046612500334	1252.77348606659	451.109742888539	721.783145960028	582.511288648454	2022.08432780873	389.457169434954	10.70475055038	6.80630365998135	5.91371134659774	5.61498951875081
"Rsub_00060"	283.096658007204	305.495584054936	252.213120414572	255.286328960722	194.248516082039	268.644670861092	411.091504743455	213.25199677089	10.4688457425357	6.87194661541619	5.90038806433143	5.62441046737032
"Rsub_00061"	3.39340739084019	17.3535112217545	3.73106696118014	17.7385829442751	2.11716715148958	8.73528385404266	1.35080164407202	5.78187145344045	15.9988178330998	15.8727556416703	11.6361265219965	9.78519335201198
"Rsub_00062"	10.8446861212437	23.5776808888639	9.5129040023167	23.8154090555349	5.33122448987168	11.9444050686346	4.04937317856056	7.89027397704786	15.7399567588962	16.2932627304977	11.6789570286595	10.0469838634473
"Rsub_00063"	73.3093124913765	82.2435785413629	24.3859085937946	60.3778906110834	48.2710752680333	86.9375841370394	26.7973815906043	55.0565411060552	14.4958094504544	18.996097001635	5.75310300360313	17.8224899836036
"Rsub_00064"	30.1046186918426	27.7357651525615	15.5587017167812	18.1930460609969	21.5270645365026	29.6380706969177	11.4766212157922	17.135562166304	16.2146154923516	18.7555031463556	7.09347708945566	17.6511460378005
"Rsub_00065"	0.905553000111836	4.2802688888156	0.961667560772346	5.24413522213005	0.298483240092586	1.42716824875607	0.320286069411569	0.18389711012324	20.0380487382891	20.6396398819321	17.4813084225247	19.705680266237
"Rsub_00067"	36.9731143474379	46.1099886666856	17.4072110772276	43.4080302778636	12.4332461613149	14.292215646417	7.79735413742737	15.6051225478645	9.01358876487403	13.0132399925658	9.57947160134525	8.76390661610589
"Rsub_00071"	136.922253650685	154.846036571279	67.9459808885598	143.685956773903	66.404580373171	86.4746870156842	84.9528408686882	74.4230066460809	4.79576509436527	4.23076146978599	4.71534043275749	2.79812503533414
"Rsub_00072"	10.2522957962647	11.1394674061331	2.38424621903307	14.1962332213788	6.16280834260104	8.71796747393728	1.90333447065702	9.96921563973983	3.09086241521627	2.23123171358783	4.19291713027207	0.680037578013485
"Rsub_00074"	1867.30608830334	1578.48454065558	1298.42374737124	1096.70393535859	560.890579414729	1154.92018484434	506.661058662361	852.967123743407	6.79985530519597	7.60385442357188	4.34029493560804	4.73469640346451
"Rsub_00076"	27.5959621139875	42.6339476666642	12.8929705961687	45.2307014901059	6.33098725547384	15.9681387099838	5.83997200751523	13.521606007307	14.3910480813804	20.2256577481228	6.72226600748052	17.9852317631646
"Rsub_00078"	19.0838457315424	10.3399218220678	4.62847790494603	12.3561612618291	6.41573778728303	11.3042295907304	3.51664715938074	10.1784243309538	12.2366271747455	16.7542263451044	7.35710208285353	15.3036310280686
"Rsub_00081"	191.896648776937	144.445548523249	119.955272166611	137.576521889205	27.0206375506333	26.6732020876769	35.7382102584858	44.7332365590613	8.93527936584599	8.97433615088934	7.89799756583952	7.36943299058897
"Rsub_00084"	16.6756072222208	24.0178393888792	8.1755292254146	22.5903571666693	5.11797900107356	6.19238019828941	6.75403147549718	7.96554325282938	9.43697461346591	8.57035790737481	7.51666625162673	6.46710621627459
"Rsub_00085"	352.731423338386	229.858444002534	301.185913245766	219.4432316989	43.4880519315957	70.5760236802036	49.7817547524619	122.646888422863	10.0162344842163	8.35786407680795	2.77151035113486	5.41003275124793
"Rsub_00086"	15.3694346642817	33.0837786112723	9.25541472222222	33.3365634999987	7.66922229879665	12.0573164872133	5.00518873284265	10.0970819165944	6.92338140806594	8.22996508538887	3.27104959808662	3.67307860707776
"Rsub_00089"	3.6163978003859	2.7955620271149	0.745904550274732	3.37206972693724	1.10188034453458	3.21363176435419	0.842069472283056	2.9769722930828	11.2761666180462	17.2046481732537	6.63005997174926	16.1334129510777
"Rsub_00091"	24.7076556237675	18.9006827221824	7.46889663317799	13.9642947221917	11.8703701074463	20.7632198654327	6.56657196043752	12.1852499863303	14.0118932392682	17.7278506805297	6.64287287059156	16.6992658948326
"Rsub_00092"	16.2028397099802	28.8687153339296	27.6312598315052	30.0522229655375	9.03073049533681	9.37293292521346	16.1140097110785	9.58469052200454	17.7423366899146	14.2427236822237	18.1134310357266	5.09114330232197
"Rsub_00096"	21.5413364989849	46.9255486609065	19.3351234222393	40.1995474443925	7.22682345918693	8.91593561263627	7.15514090445652	14.9102897025065	12.5464875238176	11.7378085566876	7.38583794349397	5.6282532193529
"Rsub_00098"	0.898063944338728	1.90772689006798	0.638154388888889	2.07514955554827	0.558983086435751	0.792938375331057	0.521061463419918	1.19182433998059	8.24736891140469	11.3989850836457	7.71286452886973	7.11996807287966
"Rsub_00099"	39.4187622222222	57.9069399996501	67.3710496111111	65.7029346114686	20.6903434000673	18.5058407779103	19.7939048520573	10.3464769815207	11.3413573756529	12.5195787139058	8.99364386224549	7.62796215014514
"Rsub_00100"	17.120884968367	8.63291214986724	11.0980495165892	13.8081359071244	20.5193824408669	10.9933879253088	10.4405277930346	15.0238490169312	11.4486100451955	13.717550295237	8.92946546863809	9.28444724783338
"Rsub_00103"	4.07575655553539	6.56039244430367	3.31303429576475	6.41055164865066	1.17759227051317	2.73924824884195	0.523308463495061	2.92933894340645	21.631007810499	0.104065853650798	12.4155955315339	20.4975358363191
